0.0	0.0	0.0
0.02	0.07	112297.37
0.04	0.06	160947.15
0.06	0.03	198379.98
0.08	0.09	209175.5
0.1	0.06	361538.51
0.12	0.06	370768.21
0.14	0.15	465724.44
0.16	0.17	470978.34
0.18	0.18	479727.21
0.2	0.18	651702.02
0.22	0.15	673214.69
0.24	0.15	827281.56
0.26	0.23	705806.59
0.28	0.26	704349.18
0.3	0.26	775535.97
0.32	0.34	781988.04
0.34	0.42	781621.72
0.36	0.4	836215.84
0.38	0.38	720990.57
0.4	0.43	802366.62
0.42	0.39	783442.59
0.44	0.45	696126.86
0.46	0.46	741578.97
0.48	0.43	825648.67
0.5	0.47	851269.4
0.52	0.49	717204.16
0.54	0.52	830045.56
0.56	0.54	702449.76
0.58	0.57	847804.48
0.6	0.57	838658.06
0.62	0.67	913949.94
0.64	0.69	792222.13
0.66	0.72	577935.33
0.68	0.69	731244.41
0.7	0.67	713070.03
0.72	0.64	725987.99
0.74	0.74	609684.89
0.76	0.78	628636.52
0.78	0.77	574627.9
0.8	0.84	523109.84
0.82	0.84	482611.77
0.84	0.93	325463.13
0.86	0.89	423990.1
0.88	0.82	475515.21
0.9	0.85	388166.86
0.92	0.93	236019.61
0.94	0.97	160616.99
0.96	0.94	201608.54
0.98	0.98	56695.66
1.0	1.0	0.0
