0.0	0.0	0.0
0.02	0.03	9790.5
0.04	0.02	11004.68
0.06	0.09	31484.02
0.08	0.05	35653.95
0.1	0.11	62756.93
0.12	0.14	50559.06
0.14	0.24	69946.7
0.16	0.17	64367.9
0.18	0.22	62636.29
0.2	0.21	77813.02
0.22	0.23	82495.83
0.24	0.22	91025.63
0.26	0.22	78663.91
0.28	0.26	65798.37
0.3	0.26	79712.76
0.32	0.36	82724.94
0.34	0.3	98269.58
0.36	0.32	95430.12
0.38	0.43	85430.65
0.4	0.32	91114.19
0.42	0.46	109110.67
0.44	0.43	97161.07
0.46	0.39	97667.57
0.48	0.46	104089.94
0.5	0.53	103517.41
0.52	0.57	101706.52
0.54	0.56	91406.08
0.56	0.54	92565.14
0.58	0.53	97194.56
0.6	0.54	106576.5
0.62	0.58	106465.42
0.64	0.62	103827.63
0.66	0.61	102675.47
0.68	0.64	105737.8
0.7	0.75	89979.92
0.72	0.73	87280.5
0.74	0.69	91412.82
0.76	0.78	73505.31
0.78	0.82	57489.4
0.8	0.84	68656.06
0.82	0.76	61520.58
0.84	0.81	48791.8
0.86	0.89	55345.26
0.88	0.84	64822.95
0.9	0.86	46832.56
0.92	0.93	31368.95
0.94	0.97	22762.49
0.96	0.95	18130.66
0.98	0.98	7533.01
1.0	1.0	0.0
