0.0	0.0	0.0
0.02	0.0	882881.77
0.04	0.02	2.28515433e6
0.06	0.06	3.29741542e6
0.08	0.1	4.36157849e6
0.1	0.08	3.28574688e6
0.12	0.13	6.13269495e6
0.14	0.15	7.01840825e6
0.16	0.15	7.90448037e6
0.18	0.14	7.34335655e6
0.2	0.25	1.035777189e7
0.22	0.2	8.35906251e6
0.24	0.29	9.39006813e6
0.26	0.26	8.42053917e6
0.28	0.2	1.084594276e7
0.3	0.36	1.191452206e7
0.32	0.32	1.461005978e7
0.34	0.34	1.135481358e7
0.36	0.34	1.219393013e7
0.38	0.38	1.001812367e7
0.4	0.34	1.079559044e7
0.42	0.39	1.26730256e7
0.44	0.43	1.065230127e7
0.46	0.5	1.281266366e7
0.48	0.5	1.208255389e7
0.5	0.46	1.072517273e7
0.52	0.57	1.325218189e7
0.54	0.59	1.259345792e7
0.56	0.57	1.307642097e7
0.58	0.62	1.166902536e7
0.6	0.63	1.146851453e7
0.62	0.55	1.301499781e7
0.64	0.69	1.067377544e7
0.66	0.76	1.017313492e7
0.68	0.72	1.477785544e7
0.7	0.72	1.058648031e7
0.72	0.74	1.074991416e7
0.74	0.75	1.081041856e7
0.76	0.81	9.65409617e6
0.78	0.72	1.038531391e7
0.8	0.84	7.3823315e6
0.82	0.81	8.10855833e6
0.84	0.88	6.04122552e6
0.86	0.81	6.85247915e6
0.88	0.86	6.07538654e6
0.9	0.85	5.68444714e6
0.92	0.91	4.51856236e6
0.94	0.96	2.33996506e6
0.96	0.96	2.52904475e6
0.98	0.99	923155.17
1.0	1.0	0.0
